,produção,velocidade,fluxo_cx,fluxo_massa,cs%cx,cs%mistura,cs%maquina,gramatura,p_vapor,temp_vapor
11/10/23,3256,184,126821,67468,"1,88","3,19","3,05","1129,75","1,99","104,17"
11/10/23,3299,00,3583,17,"1,00","3,13","3,06","1129,89","0,13","94,19"
11/10/23,3017,170,114075,47775,"1,65","3,19","3,08","1129,54","0,03","91,44"
11/10/23,3016,170,115047,47915,"1,64","3,21","3,07","1129,20","0,06","89,12"
11/10/23,3016,170,115704,48088,"1,65","3,15","3,07","1128,85","0,12","95,74"
11/10/23,3016,170,115541,47914,"1,65","3,21","3,07","1128,50","0,20","101,89"
11/10/23,3016,170,115639,47978,"1,66","3,02","3,09","1128,15","0,35","106,72"
11/10/23,3016,170,115827,47914,"1,65","3,06","3,10","1127,80","0,03","81,91"
11/10/23,3016,170,113574,48548,"1,67","3,04","3,10","1127,45","0,04","75,01"
11/10/23,3016,170,110252,52003,"1,78","3,03","3,10","1127,21","0,67","115,16"
11/10/23,2983,170,110230,52005,"1,78","3,06","3,10","1127,21","1,05","109,48"
11/10/23,3016,170,109900,51923,"1,76","3,07","3,10","1127,21","0,24","102,28"
11/10/23,3015,170,109815,52115,"1,76","3,05","3,10","1127,21","0,03","79,74"
11/10/23,3014,170,108765,51861,"1,78","3,03","3,10","1127,21","0,58","106,99"
11/10/23,2973,170,107961,51973,"1,79","3,06","3,10","1127,21","1,59","109,49"
12/10/23,2514,170,108042,54983,"1,91","3,04","3,10","1013,79","1,32","101,01"
12/10/23,2756,170,111996,56631,"1,88","3,06","3,10","1059,17","0,99","94,57"
12/10/23,2863,173,118201,60727,"1,86","3,01","3,08","1065,05","1,49","99,80"
12/10/23,2955,176,121548,61765,"1,85","3,02","3,08","1081,74","1,56","102,59"
12/10/23,3037,180,124458,63549,"1,83","3,02","3,07","1079,10","1,67","102,70"
12/10/23,3054,183,126354,64473,"1,81","3,03","3,08","1080,78","1,83","103,21"
12/10/23,3114,185,128049,65335,"1,83","3,05","3,07","1080,99","1,70","103,71"
12/10/23,3172,185,128029,65945,"1,84","3,03","3,07","1104,06","1,83","104,22"
12/10/23,3168,185,127924,65879,"1,84","3,01","3,07","1098,19","1,81","104,73"
12/10/23,3253,185,128173,66411,"1,85","3,08","3,06","1120,29","1,91","106,03"
12/10/23,3237,185,126617,65049,"1,87","3,04","3,07","1117,60","2,31","108,18"
12/10/23,3235,185,125888,65558,"1,89","3,03","3,06","1119,56","2,21","108,31"
12/10/23,3220,185,125805,65059,"1,88","3,06","3,06","1122,98","2,19","107,93"
12/10/23,3221,185,125681,65422,"1,89","3,09","3,05","1126,09","2,14","107,49"
12/10/23,3254,185,126057,66179,"1,92","3,04","3,06","1126,79","2,06","107,04"
12/10/23,3274,185,125913,65509,"1,90","3,11","3,06","1131,51","2,01","106,59"
12/10/23,3242,185,125911,64893,"1,89","3,07","3,06","1130,74","2,06","106,70"
12/10/23,3224,185,126024,65422,"1,89","3,07","3,06","1127,89","2,01","106,95"
12/10/23,3244,185,125938,65927,"1,89","3,04","3,06","1128,19","2,03","107,21"
12/10/23,3240,185,125866,66015,"1,90","3,07","3,06","1126,78","2,01","107,46"
12/10/23,3238,185,125883,66559,"1,89","3,13","3,06","1128,92","2,13","107,71"
12/10/23,3256,185,125990,66541,"1,89","3,07","3,07","1129,00","2,16","107,96"
12/10/23,3243,185,125676,66789,"1,90","3,05","3,07","1128,75","2,20","107,74"
12/10/23,3233,185,125822,66934,"1,90","3,08","3,07","1127,52","2,13","107,14"
